	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
0	343479	50388441	343479	146	19	0	1077563	2697049	85.2319938	38	73.35256304	74	18.18181818	0.343479	50725	292754	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	63
1	89270777	13569158104	89270777	152	7822	483	42573	9606	9.536562875	39	76	76	9.090909091	89.270777	80757414	8513363	0.25	1	1	1	0.5	1	1	1	0.5	1	1178
2	98454573	17918732286	98454573	182	10121	498	41223	9606	9.850720636	39	99	99	18.18181818	98.454573	88756089	9698484	0.25	0.25	1	1	0.5	0.5	1	1	0.5	1	2606
3	26144547	5647222152	26144547	216	3823	450	38449	9606	9.763711886	43	108	108	0	26.144547	23591869	2552678	1	0.5	1	1	0.5	1	1	1	1	1	886
4	15053976	3251658816	15053976	216	1990	450	38449	9606	13.3701159	40	108	108	0	15.053976	13041242	2012734	1	1	1	1	1	1	1	1	1	1	530
5	15416322	3329925552	15416322	216	2117	450	41139	9606	9.457287526	40	108	108	0	15.416322	13958357	1457965	1	1	1	1	0.5	1	1	1	0.5	1	509
6	24703064	5335861824	24703064	216	3651	450	41139	9606	6.167636694	38	108	108	0	24.703064	23179469	1523595	1	1	1	1	1	1	1	1	1	1	667
7	13133505	2836837080	13133505	216	1624	450	33847	9606	10.80622827	42	108	108	9.090909091	13.133505	11714269	1419236	1	0.25	1	1	0.5	1	1	1	0.5	1	491
8	15531162	3106232400	15531162	200	1905	395	38447	9606	0.967340462	41	100	100	18.18181818	15.531162	15380923	150239	0.25	0.25	1	1	0.5	0.5	1	1	1	1	485
9	22019169	4403833800	22019169	200	2815	384	38447	9606	1.138469561	41	100	100	18.18181818	22.019169	21768488	250681	0.25	0.25	1	1	0.5	0.5	1	1	1	1	631
10	19517187	3903437400	19517187	200	2514	384	38447	9606	1.08805749	41	100	100	18.18181818	19.517187	19304829	212358	0.25	0.25	1	1	0.5	0.5	1	1	1	1	564
11	25549954	5109990800	25549954	200	3275	387	38447	9606	1.983529504	41	100	100	18.18181818	25.549954	25043164	506790	0.25	0.25	1	1	0.5	1	1	1	1	1	680
12	24201100	4840220000	24201100	200	3104	387	38447	9606	1.81871669	41	100	100	18.18181818	24.2011	23760951	440149	0.25	0.25	1	1	0.5	1	1	1	1	1	677
13	16117290	3223458000	16117290	200	1983	394	38447	9606	1.080641267	41	100	100	18.18181818	16.11729	15943120	174170	0.25	0.25	1	1	0.5	1	1	1	1	1	488
14	25094690	5018938000	25094690	200	2978	392	38447	9606	1.763966196	42	100	100	9.090909091	25.09469	24652029	442661	0.5	0.25	1	1	0.5	1	1	1	1	1	684
15	24406899	4881379800	24406899	200	3038	444	42557	9606	2.546288133	43	100	100	27.27272727	24.406899	23785430	621469	0.25	0.25	1	1	0.25	1	1	1	0.5	1	691
16	16953863	3390772600	16953863	200	2173	444	42557	9606	1.330488866	45	100	100	18.18181818	16.953863	16728294	225569	0.25	0.25	1	1	0.5	1	1	1	1	1	614
17	41346904	8269380800	0	200	5160	325	33847	9606	5.59881292	42	100	100	0	41.346904	39031969	2314935	1	0.5	1	0.5	0.5	1	1	1	1	1	906
18	40954912	8190982400	40954912	200	5430	342	33865	9606	5.871295583	41	100	100	9.090909091	40.954912	38550329	2404583	1	0.25	1	0.5	0.5	1	1	1	1	1	1000
19	40849612	8169922400	40849612	200	5392	342	33865	9606	6.111284772	41	100	100	0	40.849612	38353176	2496436	1	0.5	1	1	0.5	1	1	1	1	1	989
20	16098118	2446913936	16098118	152	1649	175	33847	9606	3.750143213	45	76	76	0	16.098118	15494416	603702	1	1	1	0.5	0.5	1	1	1	1	1	396
21	24835568	5364482688	24835568	216	3558	400	33835	9606	5.432086482	43	108	108	9.090909091	24.835568	23486479	1349089	1	0.25	1	0.5	0.5	1	1	1	1	1	792
22	27232292	5882175072	27232292	216	3694	450	38449	9606	5.277939289	40	108	108	0	27.232292	25794989	1437303	1	1	1	1	0.5	1	1	1	1	1	719
23	16499540	3563900640	16499540	216	2248	450	41223	9606	17.73455991	40	108	108	9.090909091	16.49954	13573420	2926120	1	0.5	1	0.5	1	1	1	1	0.25	0.5	604
24	34934670	7056803340	34934670	202	3962	315	60131	9606	2.971333482	40	102	102	0	34.93467	33896645	1038025	1	1	1	1	0.5	1	1	1	1	1	1590
25	36216433	7315719466	36216433	202	4232	315	60131	9606	2.917139366	40	102	102	9.090909091	36.216433	35159950	1056483	1	0.25	1	1	0.5	1	1	1	1	1	1586
26	35514943	7174018486	35514943	202	4066	315	60131	9606	2.737251212	40	102	102	0	35.514943	34542810	972133	1	1	1	1	0.5	1	1	1	1	1	1690
27	16773856	2549626112	16773856	152	1622	470	41139	9606	5.20010072	41	76	76	27.27272727	16.773856	15901599	872257	0.25	0.25	1	1	0.5	1	1	1	0.25	1	355
28	29696009	6414337944	29696009	216	4083	450	38449	9606	6.059173762	40	108	108	0	29.696009	27896677	1799332	1	1	1	1	0.5	1	1	1	0.5	1	774
29	25234248	5450597568	25234248	216	3354	450	41139	9606	8.348297999	39	108	108	9.090909091	25.234248	23127618	2106630	1	0.25	1	1	0.5	1	1	1	0.5	1	685
30	91711792	16691546144	91711792	182	8725	491	41139	9606	15.88612394	39	99	99	9.090909091	91.711792	77142344	14569448	0.5	1	1	1	0.25	0.5	1	1	0.5	1	2766
31	91813258	16710012956	91813258	182	9514	475	41139	9606	9.797080011	40	99	99	9.090909091	91.813258	82818240	8995018	0.25	1	1	1	0.5	1	1	1	0.5	1	2606
32	98081542	17850840644	98081542	182	10222	479	41139	9606	9.353948635	40	99	99	9.090909091	98.081542	88907045	9174497	0.25	1	1	1	0.5	1	1	1	0.5	1	2663
33	84321417	15346497894	84321417	182	8652	477	41139	9606	9.359741253	41	99	99	9.090909091	84.321417	76429151	7892266	0.25	1	1	1	0.5	1	1	1	0.5	1	2515
34	104600495	19037290090	104600495	182	10433	489	42573	9606	12.16499595	39	99	99	9.090909091	104.600495	91875850	12724645	0.25	0.5	1	1	0.5	1	1	1	0.5	1	1034
35	105522298	19205058236	105522298	182	10840	467	60131	9606	11.90276675	40	99	99	9.090909091	105.522298	92962225	12560073	0.25	1	1	1	0.5	1	1	1	0.5	1	2941
36	97335026	17714974732	97335026	182	9725	474	60131	9606	9.13127952	40	99	99	9.090909091	97.335026	88447093	8887933	0.25	1	1	1	0.5	1	1	1	0.5	1	2834
37	94989411	17288072802	94989411	182	9448	482	60131	9606	15.35833706	40	99	99	9.090909091	94.989411	80400618	14588793	0.25	1	1	1	0.5	1	1	1	0.5	1	2863
38	19184422	3836884400	19184422	200	2354	396	42559	9606	1.185023232	43	100	100	27.27272727	19.184422	18957083	227339	0.25	0.25	1	1	0.25	1	1	1	1	1	573
39	20508621	4101724200	20508621	200	2521	396	42559	9606	1.559628218	42	100	100	27.27272727	20.508621	20188763	319858	0.25	0.25	1	1	0.25	1	1	1	1	1	578
40	20388418	4077683600	20388418	200	2558	419	42559	9606	1.179945033	42	100	100	18.18181818	20.388418	20147846	240572	0.25	0.25	1	1	0.5	1	1	1	1	1	592
41	20068902	4053918204	20068902	202	1811	389	177415	9606	1.425576045	40	101	101	0	20.068902	19782805	286097	1	0	1	1	0.5	1	1	1	1	1	562
42	43127413	8625482600	43127413	200	5703	334	33865	9606	5.731169719	41	100	100	9.090909091	43.127413	40655708	2471705	1	0.25	1	1	0.5	1	1	1	1	1	1015
43	40801706	8160341200	0	200	5386	323	33865	9606	5.564065452	41	100	100	0	40.801706	38531473	2270233	1	0.5	1	1	0.5	1	1	1	1	1	1003
44	16509214	3565990224	16509214	216	2946	250	33859	9606	5.78833805	45	108	108	18.18181818	16.509214	15553605	955609	0.25	0.5	0.5	0.25	0.5	1	1	1	1	1	574
45	17697186	2689972272	17697186	152	1888	200	33847	9606	3.715658451	43	76	76	0	17.697186	17039620	657566	1	1	1	1	0.5	1	1	1	1	1	445
46	17057394	2592723888	17057394	152	1795	200	33847	9606	3.757011612	43	76	76	9.090909091	17.057394	16416546	640848	1	0.25	1	1	0.5	1	1	1	1	1	439
47	17697186	2689972272	17697186	152	1888	200	33847	9606	3.715658451	43	76	76	0	17.697186	17039620	657566	1	1	1	1	0.5	1	1	1	1	1	445
48	17057394	2592723888	17057394	152	1795	200	33847	9606	3.757011612	43	76	76	9.090909091	17.057394	16416546	640848	1	0.25	1	1	0.5	1	1	1	1	1	439
49	16232769	3506278104	0	216	2595	450	33865	9606	6.613267457	42	108	108	9.090909091	16.232769	15159253	1073516	0.25	1	1	0.5	0.5	1	1	1	1	1	520
50	26418645	5706427320	26418645	216	4373	250	33835	9606	8.199435516	43	108	108	9.090909091	26.418645	24252466	2166179	0.5	0.25	1	0.5	0.5	1	1	1	1	1	841
51	35319748	7629065568	35319748	216	6044	400	33835	9606	7.192189984	41	108	108	27.27272727	35.319748	32779485	2540263	0.25	0.25	1	0.25	0.5	1	1	1	1	1	1040
52	0	0	0	0	6395	481	38449	9606	8.660571487	40	84	84	18.18181818	61.376649	56061081	5315568	0.25	0.5	1	1	0.5	1	1	1	0.25	1	2416
53	38779787	5894527624	38779787	152	2701	484	41223	9606	6.329339092	39	76	76	18.18181818	38.779787	36325283	2454504	0.25	1	1	1	0.5	1	1	1	0.25	1	636
54	33086265	4962939750	33086265	150	2146	478	41223	9606	2.611685755	40	69	69	27.27272727	33.086265	32222156	864109	0.25	0.25	1	1	0.5	1	1	1	0.25	1	236
55	39155726	5951670352	39155726	152	2690	484	38449	9606	5.792325249	39	76	76	18.18181818	39.155726	36887699	2268027	0.25	1	1	1	0.5	1	1	1	0.25	1	630
56	34770231	5285075112	34770231	152	2271	477	38449	9606	5.231777817	40	76	76	18.18181818	34.770231	32951130	1819101	0.25	0.25	1	1	0.5	1	1	1	0.5	1	639
57	0	0	0	0	5628	480	38449	9606	16.71420131	40	69	69	18.18181818	67.573443	56279082	11294361	0.25	0.5	1	1	0.5	1	1	1	0.25	1	2394
58	36528827	5552381704	36528827	152	2372	490	38449	9606	5.197967845	39	76	76	18.18181818	36.528827	34630071	1898756	0.25	0.25	1	1	0.5	1	1	1	0.5	1	662
59	0	0	0	0	6278	485	38449	9606	9.551318022	40	84	84	27.27272727	62.267758	56320367	5947391	0.25	0.25	1	1	0.5	1	1	1	0.25	1	2253
60	40855841	6210087832	40855841	152	2740	475	38449	9606	4.948657199	39	76	76	9.090909091	40.855841	38834026	2021815	0.25	1	1	1	0.5	1	1	1	0.5	1	664
61	42275361	6425854872	42275361	152	2833	476	38449	9606	4.883363753	39	76	76	9.090909091	42.275361	40210902	2064459	0.25	1	1	1	0.5	1	1	1	0.5	1	667
62	41354851	6285937352	41354851	152	2799	484	42573	9606	5.072077966	39	76	76	9.090909091	41.354851	39257301	2097550	0.25	1	1	1	0.5	1	1	1	0.5	1	653
63	95602302	17399618964	95602302	182	9741	472	42573	9606	10.41485846	40	99	99	9.090909091	95.602302	85645458	9956844	0.25	1	1	1	0.5	1	1	1	0.5	1	2755
64	41302407	6277965864	41302407	152	2759	485	42573	9606	5.051651381	39	76	76	9.090909091	41.302407	39215954	2086453	0.25	0.5	1	1	0.5	1	1	1	0.5	1	680
65	21309616	4602877056	21309616	216	2910	450	41223	9606	8.732755878	42	108	108	18.18181818	21.309616	19448700	1860916	1	0.25	1	1	0.5	1	1	1	0.25	1	741
66	35937067	7762406472	35937067	216	5880	400	33835	9606	7.644742878	40	108	108	27.27272727	35.937067	33189771	2747296	0.25	0.25	1	0.25	0.5	1	1	1	0.5	1	1253
67	27200782	5875368912	27200782	216	4021	400	33835	9606	7.038030299	43	108	108	9.090909091	27.200782	25286383	1914399	0.5	0.25	1	1	0.5	1	1	1	1	1	908
68	23439690	5062973040	23439690	216	3181	450	33831	9606	6.903109389	41	108	108	9.090909091	23.43969	21821623	1618067	0.25	1	1	1	0.5	1	1	1	1	1	636
69	25335277	5472419832	25335277	216	3734	450	38449	9606	14.18174576	42	108	108	9.090909091	25.335277	21742293	3592984	0.5	0.25	1	0.5	0.5	1	1	1	1	1	859
70	30502892	6588624672	30502892	216	4663	450	41139	9606	4.850168285	40	108	108	9.090909091	30.502892	29023451	1479441	0.5	0.25	1	1	0.5	1	1	1	1	1	951
71	30773370	6647047920	30773370	216	4083	400	33835	9606	8.038374822	45	108	108	9.090909091	30.77337	28299692	2473678	1	1	1	1	0.25	1	1	1	1	1	973
72	34778053	7512059448	34778053	216	4741	450	41139	9606	6.508509893	41	108	108	9.090909091	34.778053	32514520	2263533	1	0.25	1	1	0.5	1	1	1	1	1	941
73	23473102	5070190032	23473102	216	3373	450	41223	9606	9.906248418	41	108	108	9.090909091	23.473102	21147799	2325303	0.5	0.25	1	1	0.5	1	1	1	1	1	655
74	101519492	18476547544	101519492	182	10163	466	41223	9606	14.20736348	39	83	83	18.18181818	101.519492	87096249	14423243	0.25	1	1	1	0.5	1	1	1	0.25	1	218
75	93469783	17011500506	93469783	182	9697	488	41139	9606	13.23648712	41	83	83	18.18181818	93.469783	81097668	12372115	0.25	1	1	1	0.5	1	1	1	0.25	1	2463
76	96657631	17591688842	96657631	182	9241	473	41139	9606	14.46014553	40	83	83	27.27272727	96.657631	82680797	13976834	0.25	0.5	1	1	0.25	0.5	1	1	0.25	1	2984
77	96544439	17571087898	96544439	182	9704	479	41139	9606	10.60820688	40	83	83	18.18181818	96.544439	86302806	10241633	0.25	1	1	1	0.5	1	1	1	0.25	1	2808
78	20641236	3137467872	20641236	152	2095	507	33851	9606	4.459798098	42	76	76	18.18181818	20.641236	19720679	920557	0.25	0.25	1	1	0.5	1	1	1	0.5	1	485
79	38973610	5923988720	38973610	152	2513	460	33851	9606	5.049948338	39	76	76	18.18181818	38.97361	37005463	1968147	0.25	0.25	1	1	0.5	1	1	1	0.5	1	696
80	25634635	3896464520	25634635	152	2621	472	33851	9606	3.910737502	41	76	76	18.18181818	25.634635	24632132	1002503	0.25	0.25	1	1	0.5	1	1	1	0.5	1	505
81	41329865	8265973000	41329865	200	3906	450	60131	9606	5.493325781	42	100	100	0	41.329865	39059481	2270384	0.5	1	1	1	0.5	1	1	1	0.5	1	1006
82	79188371	15837674200	79188371	200	9291	450	60131	9606	3.569785819	41	100	100	9.090909091	79.188371	76361516	2826855	0.25	1	1	1	0.5	1	1	1	1	1	1509
83	44758768	8951753600	44758768	200	4845	450	60131	9606	2.65400639	41	100	100	9.090909091	44.758768	43570868	1187900	0.25	0.5	1	1	0.5	1	1	1	1	1	970
84	61106523	12221304600	61106523	200	5775	450	60131	9606	3.748790083	41	100	100	0	61.106523	58815768	2290755	1	1	1	1	0.5	1	1	1	1	1	1181
85	72018178	14403635600	72018178	200	7781	450	60131	9606	9.755026761	40	100	100	0	72.018178	64992786	7025392	0.5	1	1	0.5	0.5	1	1	1	0.5	1	1303
86	35419175	7154673350	35419175	202	4142	315	42557	9606	3.362879758	40	102	102	9.090909091	35.419175	34228071	1191104	1	0.25	1	1	0.5	1	1	1	0.5	1	1526
87	35258135	7122143270	35258135	202	4066	315	42557	9606	3.53982707	40	102	102	0	35.258135	34010058	1248077	1	1	1	1	0.5	1	1	1	1	1	1620
88	35439416	7158762032	35439416	202	4042	315	42557	9606	2.971711562	39	102	102	0	35.439416	34386259	1053157	1	1	1	1	0.5	1	1	1	1	1	1604
89	38542030	7785490060	38542030	202	4278	315	42557	9606	2.896077071	39	102	102	9.090909091	38.54203	37425824	1116206	1	0.25	1	1	0.5	1	1	1	1	1	1627
90	33437545	6754384090	33437545	202	3751	315	42557	9606	3.682971083	40	102	102	9.090909091	33.437545	32206050	1231495	1	0.25	1	1	0.5	1	1	1	0.5	1	1593
91	43615645	8723129000	0	200	7292	393	42575	9606	1.487382247	42	100	100	9.090909091	43.615645	42966914	648731	1	0.25	1	1	0.5	1	1	1	1	1	1062
92	22656144	4531228800	22656144	200	2498	395	42557	9606	1.480427421	41	100	100	0	22.656144	22320737	335407	1	0.5	1	1	0.5	1	1	1	1	1	611
93	99720508	20143542616	99720508	202	11334	500	42573	9606	8.400378702	40	101	101	27.27272727	99.720508	91343608	8376900	0.25	0.25	1	0.5	0.5	0.5	1	1	0.25	1	1905
94	36159141	7231828200	36159141	200	4414	344	33865	9606	6.181387561	41	100	100	0	36.159141	33924005	2235136	1	0.5	1	0.5	0.5	1	1	1	1	1	911
95	46516265	9303253000	46516265	200	6148	344	33865	9606	5.712482199	41	100	100	9.090909091	46.516265	43859032	2657233	1	0.25	1	0.5	0.5	1	1	1	1	1	1074
96	46823231	9364646200	0	200	6381	322	33865	9606	5.592299639	41	100	100	9.090909091	46.823231	44204736	2618495	1	0.25	1	0.5	0.5	1	1	1	1	1	1126
97	39042406	7808481200	39042406	200	5329	342	33865	9606	5.142731553	42	100	100	9.090909091	39.042406	37034560	2007846	1	0.25	1	0.5	0.5	1	1	1	1	1	1016
98	13685419	2764454638	13685419	202	1460	331	42573	9606	1.967890059	40	101	101	20	13.685419	13416105	269314	0.25	0	1	1	1	1	1	1	0.25	1	441
99	28517864	6159858624	28517864	216	4766	450	41223	9606	6.527406749	39	108	108	9.090909091	28.517864	26656388	1861476	0.25	0.5	1	1	1	1	1	1	1	1	771
100	87254143	13262629736	87254143	152	7571	488	42573	9606	12.86612935	39	76	76	9.090909091	87.254143	76027913	11226230	0.25	1	1	1	0.5	1	1	1	0.5	1	1230
101	33946197	7332378552	33946197	216	5022	450	33835	9606	4.770426866	40	108	108	0	33.946197	32326819	1619378	1	1	1	1	0.5	1	1	1	1	1	981
102	39343684	8498235744	39343684	216	5947	450	42573	9606	4.800930511	39	108	108	0	39.343684	37454822	1888862	1	1	1	1	1	1	1	1	1	1	968
103	25567938	5522674608	25567938	216	3536	450	38449	9606	9.85082303	42	108	108	18.18181818	25.567938	23049286	2518652	1	0.25	1	1	0.5	1	1	1	0.25	1	871
104	32727692	7069181472	32727692	216	5228	450	38449	9606	7.513660968	40	108	108	9.090909091	32.727692	30268645	2459047	0.5	0.25	1	1	0.5	1	1	1	1	1	1085
105	107704474	19602214268	107704474	182	10814	480	38449	9606	10.98418607	40	83	83	18.18181818	107.704474	95874015	11830459	0.25	0.5	1	1	0.5	1	1	1	0.25	1	1134
106	97641709	17770791038	97641709	182	9788	486	41139	9606	10.66558349	40	83	83	18.18181818	97.641709	87227652	10414057	0.25	1	1	1	0.5	1	1	1	0.25	1	1016
107	86479532	15739274824	86479532	182	8571	478	41139	9606	13.25492593	41	83	83	18.18181818	86.479532	75016735	11462797	0.25	1	1	1	0.5	1	1	1	0.25	1	914
